temperature,humidity,pressure,windspeed
17,19,935,4
17,33,946,6
10,15,929,8
10,19,921,7
15,23,954,6
18,32,953,7
14,10,961,4
19,29,905,4
18,33,905,7
15,26,987,4
17,35,930,4
12,11,921,5
12,27,952,7
16,29,954,6
18,34,975,7
19,19,965,8
14,14,922,5
17,33,922,7
11,30,903,8
11,14,920,4
10,29,927,4
13,15,969,5
18,33,911,7
17,27,981,4
15,27,981,8
15,19,904,4
12,33,954,4
18,22,974,4
12,15,979,8
11,20,977,8
15,27,969,5
13,16,959,6
11,34,933,7
17,12,971,6
19,16,949,5
12,13,925,7
19,24,958,7
13,12,909,7
17,10,975,5
17,23,930,4
17,27,987,7
17,23,901,8
12,25,928,7
17,22,960,6
10,27,907,5
17,13,926,4
15,19,930,7
11,17,913,8
19,24,967,7
17,20,967,8
24,61,1036,12
24,40,1005,10
29,58,1086,11
23,51,1063,12
27,66,1072,13
24,51,1059,13
22,67,1078,14
27,55,1068,10
26,57,1070,14
24,55,1089,11
24,43,1055,11
23,66,1003,14
22,68,1046,10
26,56,1022,13
28,47,1087,13
23,41,1042,13
28,60,1006,12
23,64,1082,13
23,57,1085,14
28,66,1084,14
26,67,1043,10
24,62,1082,11
27,46,1032,10
26,65,1071,14
27,62,1075,10
23,57,1066,11
28,69,1001,10
26,59,1006,12
28,44,1023,12
28,58,1025,12
27,59,1087,13
22,59,1005,10
25,46,1045,13
24,69,1015,13
23,59,1066,14
29,64,1062,14
29,43,1049,12
24,60,1029,13
27,43,1043,11
25,62,1011,12
26,63,1085,13
23,40,1052,10
26,44,1042,11
27,66,1050,14
24,59,1053,14
23,50,1041,10
25,53,1030,11
28,53,1040,14
24,53,1029,10
23,42,1041,11
40,86,1124,17
33,98,1147,19
32,93,1185,17
35,83,1175,20
34,76,1200,18
40,77,1188,20
32,96,1133,17
38,85,1135,20
40,86,1147,20
39,76,1173,20
35,98,1113,20
33,98,1110,18
32,96,1124,17
37,96,1181,18
37,84,1184,20
40,77,1120,20
40,81,1166,18
39,85,1169,20
36,96,1111,18
37,100,1140,19
37,85,1188,19
34,77,1129,20
38,98,1168,20
35,87,1143,19
36,86,1188,17
37,100,1122,17
32,99,1115,19
36,77,1184,20
34,83,1142,20
33,100,1122,20
32,90,1114,17
33,83,1155,20
39,88,1140,18
40,90,1111,19
32,100,1163,20
36,77,1141,18
34,79,1125,18
40,82,1136,20
39,98,1114,18
37,98,1181,18
36,94,1126,17
39,98,1158,20
36,97,1124,17
39,100,1118,20
37,100,1165,18
32,80,1113,19
34,78,1192,20
35,93,1151,19
32,82,1197,20
33,94,1162,17
